place_idx,place_name,place_county,place_po_start,place_po_end,gnis_idx,gnis_id,gnis_name,gnis_county,gnis_feature_class,confidence,match_strategy,notes
574,Betteville,Roane,,1830.0,28554.0,1647829.0,Fayetteville,Lincoln,Populated Place,71.81818181818181,FUZZY_GENERAL,"Fuzzy match (score: 81.81818181818181), different county"
583,Biddie,Union,,1903.0,1384.0,1313367.0,Addie (historical),Davidson,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 72.72727272727273), different county"
583,Biddie,Union,,1903.0,31065.0,1278340.0,Bride,Tipton,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 72.72727272727273), different county"
653,Bison,Cocke,,1902.0,30421.0,1299719.0,Robison,Carroll,Populated Place,73.33333333333334,FUZZY_GENERAL,"Fuzzy match (score: 83.33333333333334), different county"
679,Blains Cross Roads,Grainger,1826.0,1883.0,1536.0,1643844.0,Bobs Cross Roads (historical),Coffee,Populated Place,72.35294117647058,FUZZY_GENERAL,"Fuzzy match (score: 82.35294117647058), different county"
688,Blairsport,Roane,,1981.0,31955.0,1275948.0,Ashport,Lauderdale,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 70.58823529411764), different county"
688,Blairsport,Roane,,1981.0,438.0,1644653.0,Brownsport (historical),Decatur,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 70.0), different county"
689,Blairton,Cumberland,,1879.0,734.0,1643502.0,Blanton (historical),Cannon,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 80.0), different county"
689,Blairton,Cumberland,,1879.0,32479.0,1314691.0,Blair,Roane,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 76.92307692307692), different county"
689,Blairton,Cumberland,,1879.0,31574.0,1314640.0,Beartown,Sullivan,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 75.0), different county"
696,Blanking,Hawkins,,1903.0,27690.0,1306664.0,Lancing,Morgan,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 80.0), different county"
