place_idx,place_name,place_county,place_po_start,place_po_end,gnis_idx,gnis_id,gnis_name,gnis_county,gnis_feature_class,confidence,match_strategy,notes,Place_Name,County,place_lat,place_lon,gaz_id,gnis_lat,gnis_lon,distance_miles
178,Andersons,Wilson,,1834.0,30643.0,1275675.0,Anderson,Coffee,Populated Place,84.11764705882352,FUZZY_GENERAL,"Fuzzy match (score: 94.11764705882352), different county",Andersons,Wilson,36.1745,-86.2972,1275675,35.4845,-86.0972,48.976132955441926
178,Andersons,Wilson,,1834.0,30773.0,1314583.0,Anderson,Franklin,Populated Place,84.11764705882352,FUZZY_GENERAL,"Fuzzy match (score: 94.11764705882352), different county",Andersons,Wilson,36.1745,-86.2972,1314583,35.1545,-86.0972,71.36816876407704
179,Andersons Store,McNairy,,1866.0,4682.0,1642040.0,Andersons Spring,Carter,Spring,75.0,FIRST_WORD,"First word match, different county",Andersons Store,McNairy,35.1945,-88.5472,1642040,36.2989,-82.154,366.48672978676905
179,Andersons Store,McNairy,,1866.0,4829.0,1643065.0,Andersons Shoals,Cocke,Bar,75.0,FIRST_WORD,"First word match, different county",Andersons Store,McNairy,35.1945,-88.5472,1643065,35.9345,-83.134,308.48971970920235
179,Andersons Store,McNairy,,1866.0,4829.0,1643065.0,Andersons Shoals,Cocke,Bar,75.0,FIRST_WORD,"First word match, different county",Andersons Store,McNairy,35.1945,-88.5472,1643065,36.2145,-83.2972,302.846913387958
179,Andersons Store,McNairy,,1866.0,4830.0,1643065.0,Andersons Shoals,Hamblen,Bar,75.0,FIRST_WORD,"First word match, different county",Andersons Store,McNairy,35.1945,-88.5472,1643065,35.9345,-83.134,308.48971970920235
179,Andersons Store,McNairy,,1866.0,4830.0,1643065.0,Andersons Shoals,Hamblen,Bar,75.0,FIRST_WORD,"First word match, different county",Andersons Store,McNairy,35.1945,-88.5472,1643065,36.2145,-83.2972,302.846913387958
182,Andrews,Maury,,1902.0,2335.0,1275749.0,Andrews Spring,Marshall,Spring,80.0,NAME_VARIATION,Name variation: andrews spring,Andrews,Maury,35.6145,-87.0472,1275749,35.4545,-86.7972,17.883907919132206
182,Andrews,Maury,,1902.0,16265.0,1304840.0,Andrews Creek,Cannon,Stream,80.0,NAME_VARIATION,Name variation: andrews creek,Andrews,Maury,35.6145,-87.0472,1304840,35.8095,-86.0583,57.09418886017429
182,Andrews,Maury,,1902.0,16265.0,1304840.0,Andrews Creek,Cannon,Stream,80.0,NAME_VARIATION,Name variation: andrews creek,Andrews,Maury,35.6145,-87.0472,1304840,35.8445,-86.3972,39.772966987383505
182,Andrews,Maury,,1902.0,16266.0,1304840.0,Andrews Creek,Rutherford,Stream,80.0,NAME_VARIATION,Name variation: andrews creek,Andrews,Maury,35.6145,-87.0472,1304840,35.8095,-86.0583,57.09418886017429
182,Andrews,Maury,,1902.0,16266.0,1304840.0,Andrews Creek,Rutherford,Stream,80.0,NAME_VARIATION,Name variation: andrews creek,Andrews,Maury,35.6145,-87.0472,1304840,35.8445,-86.3972,39.772966987383505
183,Andrews Chapel,Madison,1849.0,1903.0,16265.0,1304840.0,Andrews Creek,Cannon,Stream,75.0,FIRST_WORD,"First word match, different county",Andrews Chapel,Madison,35.6145,-88.8972,1304840,35.8095,-86.0583,159.8384281022093
183,Andrews Chapel,Madison,1849.0,1903.0,16265.0,1304840.0,Andrews Creek,Cannon,Stream,75.0,FIRST_WORD,"First word match, different county",Andrews Chapel,Madison,35.6145,-88.8972,1304840,35.8445,-86.3972,141.12427696821166
183,Andrews Chapel,Madison,1849.0,1903.0,16266.0,1304840.0,Andrews Creek,Rutherford,Stream,75.0,FIRST_WORD,"First word match, different county",Andrews Chapel,Madison,35.6145,-88.8972,1304840,35.8095,-86.0583,159.8384281022093
183,Andrews Chapel,Madison,1849.0,1903.0,16266.0,1304840.0,Andrews Creek,Rutherford,Stream,75.0,FIRST_WORD,"First word match, different county",Andrews Chapel,Madison,35.6145,-88.8972,1304840,35.8445,-86.3972,141.12427696821166
183,Andrews Chapel,Madison,1849.0,1903.0,26790.0,1275747.0,Andrews Hollow,Stewart,Valley,75.0,FIRST_WORD,"First word match, different county",Andrews Chapel,Madison,35.6145,-88.8972,1275747,36.5045,-87.8472,84.98053118663186
184,Andrews Chapel,McMinn,,,16265.0,1304840.0,Andrews Creek,Cannon,Stream,75.0,FIRST_WORD,"First word match, different county",Andrews Chapel,McMinn,35.4345,-84.5872,1304840,35.8095,-86.0583,86.5950035117342
184,Andrews Chapel,McMinn,,,16265.0,1304840.0,Andrews Creek,Cannon,Stream,75.0,FIRST_WORD,"First word match, different county",Andrews Chapel,McMinn,35.4345,-84.5872,1304840,35.8445,-86.3972,105.51393973829374
